Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm
2025-07-30 17:34:29,26.48,38.00,53.00,76.00,517.83,273.41,94.86,111.10
2025-07-30 17:35:29,24.96,35.04,49.00,70.00,483.43,257.86,87.96,103.39
2025-07-30 17:36:29,22.93,32.54,44.32,63.50,486.61,299.96,79.82,94.61
2025-07-30 17:37:29,1.00,2.93,3.03,4.62,30.03,14.00,5.48,6.45
2025-07-30 17:38:29,1.00,2.97,3.07,4.69,30.66,14.28,5.48,6.17
2025-07-30 17:39:29,1.00,2.07,2.69,3.76,24.76,11.17,4.48,5.41
2025-07-30 17:40:29,1.00,2.62,3.00,4.07,28.00,12.21,5.00,6.00
2025-07-30 17:41:29,0.00,1.00,1.00,1.17,10.90,6.00,1.69,2.14
2025-07-30 17:42:29,0.03,1.00,1.03,2.03,13.86,7.31,2.00,3.00
2025-07-30 17:43:29,0.00,1.00,1.00,2.28,14.41,7.79,2.41,3.00
2025-07-30 17:44:29,0.00,1.45,1.72,2.14,16.07,7.66,3.00,3.72
2025-07-30 17:45:29,0.07,2.00,2.00,3.10,18.03,7.59,3.03,4.00
2025-07-30 17:46:29,0.25,2.00,2.00,3.04,19.00,9.39,3.29,4.00
2025-07-30 17:47:29,0.00,1.00,1.00,1.82,12.61,6.11,2.00,3.00
2025-07-30 17:48:29,0.00,1.24,1.45,2.10,15.31,7.79,3.00,3.00
2025-07-30 17:49:29,0.34,2.00,2.00,3.07,18.00,7.38,3.03,4.00
2025-07-30 17:50:29,0.10,1.72,2.00,2.59,17.00,7.76,3.00,4.00
2025-07-30 17:51:29,0.14,2.00,2.00,2.89,17.00,7.86,3.00,4.00
2025-07-30 17:52:29,0.03,1.31,1.41,2.28,14.14,6.55,2.38,3.34
2025-07-30 17:53:29,0.00,1.00,0.31,1.14,8.07,3.86,1.17,1.97
2025-07-30 17:54:29,0.00,1.03,1.00,1.52,10.69,6.00,2.00,2.34
2025-07-30 17:55:29,0.00,1.00,1.00,1.18,9.50,4.00,1.54,2.00
2025-07-30 17:56:29,0.00,1.00,1.00,1.10,8.79,3.93,1.48,2.03
2025-07-30 17:57:29,0.00,1.00,0.89,1.00,8.71,4.00,1.11,2.00
2025-07-30 17:58:29,0.00,1.00,1.00,1.97,11.97,5.45,2.00,3.00
2025-07-30 17:59:29,2.03,5.00,7.00,10.00,59.17,17.17,14.00,18.52
2025-07-30 18:00:29,2.00,5.00,7.00,9.72,56.83,16.07,13.07,18.76
2025-07-30 18:01:29,0.97,2.00,2.79,4.00,24.76,7.45,5.07,8.00
2025-07-30 18:02:29,0.00,0.79,0.07,0.72,6.59,3.93,1.00,1.90
2025-07-30 18:03:29,0.00,1.00,1.00,1.03,8.31,4.00,1.00,2.00
